Name of Restaurant,Location,Cuisine,Top Dishes,Price for 2,Dining Rating,Dining Rating Count,Delivery Rating,Delivery Rating Count,Features,,,,
Mangalam Pongattum Foods,Choolaimedu,"['South Indian', ' North Indian', ' Chinese']",Invalid,300,None,Does not offer Dining,4,2937,"['Breakfast', 'Home Delivery']",,,,
King's Kitchen,Valasaravakkam,"['Chinese', ' Chettinad']",Invalid,500,2.7,46,3.6,392,"['Home Delivery', 'Indoor Seating']",,,,
Charcoal BBQ,Old Mahabalipuram Road (OMR),"['North Indian', ' Chinese', ' BBQ']",Invalid,850,3.4,34,3.3,24,"['Home Delivery', 'Indoor Seating']",,,,
Shuddha Sattva Pure Vegetarian Restaurant,Injambakkam,"['North Indian', ' Continental', ' Chinese', ' Mexican']",Invalid,600,3.6,43,None,Does not offer Delivery,"['Breakfast', 'Vegetarian Only', 'Outdoor Seating', 'Free Parking', 'Serves Jain Food', 'Desserts and Bakes', 'Table Reservation Not Required', 'Buffet', 'Indoor Seating', 'Kid Friendly', 'Brunch']",,,,
Falafel Signature,Injambakkam,"['North Indian', ' Chinese']",Invalid,700,3.3,48,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating', 'Table Reservation Not Required']",,,,
Straang T,Nandanam,"['Fast Food', ' Beverages']",Invalid,250,3.2,30,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating']",,,,
Srinivasa Tiffin Centre,Velachery,['South Indian'],Invalid,150,3.7,38,None,Does not offer Delivery,"['Breakfast', 'Vegetarian Only', 'Indoor Seating']",,,,
Sawarma Joint,Thiruvanmiyur,['Fast Food'],Invalid,250,3.7,56,3.9,2739,"['Home Delivery', 'Outdoor Seating']",,,,
Mitra,RA Puram,"['Mithai', ' Street Food']",Invalid,200,2.7,34,4,157,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Pre-Ordering Required', 'Desserts and Bakes']",,,,
Zaroob - The Arabian Food Palace,Saidapet,"['Chinese', ' Lebanese']",Invalid,400,3.7,58,3.9,1715,"['Home Delivery', 'Indoor Seating']",,,,
Rockstone Ice Cream,GST Road,"['Desserts', ' Beverages']",Invalid,450,3.4,43,4.4,863,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']",,,,
Dosa Corner,Ambattur,['South Indian'],Invalid,250,2.9,33,3.3,1970,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Free Parking', 'Indoor Seating']",,,,
Amudha Aunty's kitchen,Sholinganallur,"['Tamil', ' South Indian']",Invalid,250,None,None,None,None,"['Breakfast', 'Delivery Only']",,,,
Kolkata Chat,Kelambakkam,"['Street Food', ' Fast Food']",Invalid,150,3.1,45,3.8,4022,"['Home Delivery', 'Indoor Seating']",,,,
Go69 Pizza,Kilpauk,"['Pizza', ' Fast Food']",Invalid,400,3.7,47,3.9,604,"['Home Delivery', 'Free Parking', 'Indoor Seating']",,,,
KSG Queen,Kodambakkam,"['Fast Food', ' Sandwich', ' Beverages']",Invalid,300,3.1,29,3.3,1402,"['Home Delivery', 'Indoor Seating']",,,,
Hot Chicken,Saidapet,"['North Indian', ' Chinese', ' Biryani', ' Chettinad']",Invalid,900,3.1,44,None,Not enough Delivery Reviews,"['Home Delivery', 'Table booking recommended', 'Indoor Seating']",,,,
Jammy Tommy,Maduravoyal,"['Fast Food', ' Desserts']",Invalid,300,3.8,30,4,128,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Desserts and Bakes']",,,,
Shank's Coffee House & Tiffin Center,Anna Nagar East,"['South Indian', ' North Indian', ' Chinese', ' Street Food', ' Chettinad', ' Beverages']",Invalid,400,3.4,42,3.9,3524,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']",,,,
Kovai Pazhamudir Nilayam,Anna Nagar West,"['Juices', ' Beverages']",Invalid,200,None,Does not offer Dining,4.5,244,"['Home Delivery', 'Vegetarian Only']",,,,
Chubby Cheesecakes,Saidapet,['Bakery'],Invalid,500,None,Does not offer Dining,3.9,22,"['Delivery Only', 'Desserts and Bakes']",,,,
Hotel Sagar,Triplicane,"['North Indian', ' Chinese', ' South Indian', ' Biryani', ' Beverages']",Invalid,650,3.1,47,4,195,"['Home Delivery', 'Indoor Seating']",,,,
Lassi Corner,Tambaram,"['Beverages', ' Fast Food']",Invalid,200,3.6,48,3.8,553,"['Home Delivery', 'Free Parking', 'Indoor Seating']",,,,
Sans Sandwich,T. Nagar,"['Sandwich', ' Fast Food', ' Beverages']",Invalid,250,3.5,35,4.2,554,"['Breakfast', 'Home Delivery', 'Indoor Seating']",,,,
Madhuram Mess,Palavakkam,['South Indian'],Invalid,200,None,Does not offer Dining,3.6,970,"['Breakfast', 'Home Delivery']",,,,
Oru Kutchi Oru Kulfi,Velachery,['Fast Food'],Invalid,250,3.5,47,3.9,371,"['Home Delivery', 'Indoor Seating']",,,,
Rangoon - Atho Shop,T. Nagar,['Burmese'],Invalid,200,3.7,43,4.1,506,"['Home Delivery', 'Table booking recommended', 'Free Parking', 'Indoor Seating']",,,,
Raaman Coffee Bar,Padur,"['Beverages', ' South Indian']",Invalid,250,3.6,50,3.8,2741,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']",,,,
Nagarjuna Andhra Mess,Taramani,"['Biryani', ' Chinese']",Invalid,300,None,Does not offer Dining,3.3,566,['Delivery Only'],,,,
Cool COCO Day,Velachery,"['Beverages', ' Ice Cream']",Invalid,250,3.7,43,4.1,952,"['Home Delivery', 'Outdoor Seating', 'Indoor Seating']",,,,
Thameem Bro's,Avadi,"['North Indian', ' Chinese']",Invalid,500,3.3,46,None,Not enough Delivery Reviews,"['Home Delivery', 'Free Parking', 'Indoor Seating']",,,,
Cake Day,Anna Nagar West,"['Bakery', ' Fast Food']",Invalid,400,3.7,18,3.9,34,"['Home Delivery', 'Indoor Seating', 'Pre-Ordering Required', 'Desserts and Bakes']",,,,
New Taj Biryani,Selaiyur,['Biryani'],Invalid,300,3.5,54,3.4,5882,"['Home Delivery', 'Indoor Seating', 'Free Parking']",,,,
Delight Cake Shop,Perambur,['Bakery'],Invalid,100,None,Does not offer Dining,3.8,17,"['Home Delivery', 'Pre-Ordering Required', 'Desserts and Bakes']",,,,
Virgo Restaurant,Medavakkam,"['North Indian', ' Chinese', ' South Indian']",Invalid,500,2.7,31,3.6,338,"['Breakfast', 'Home Delivery', 'Indoor Seating', 'Brunch']",,,,
Akshaya Sai Tender Juice Land,Vadapalani,"['Juices', ' Beverages', ' Fast Food']",Invalid,300,3.9,41,3.4,74,"['Home Delivery', 'Outdoor Seating']",,,,
Hudson,"Harrisons Hotel, Nungambakkam",['Finger Food'],Invalid,1000,3.1,45,None,Does not offer Delivery,"['Wheelchair Accessible', 'Full Bar Available', 'Indoor Seating', 'Serves Cocktails', 'Nightlife', 'Live Entertainment', 'Valet Parking Available']",,,,
Ki Takeaway,Medavakkam,"['South Indian', ' Street Food', ' Chinese']",Invalid,400,3.7,40,4,230,"['Breakfast', 'Home Delivery', 'Indoor Seating']",,,,
Chillax Pizza,Velachery,"['Fast Food', ' Pizza']",Invalid,300,None,Does not offer Dining,3.7,828,['Home Delivery'],,,,
Dwaraka,Kodambakkam,"['South Indian', ' Street Food', ' Desserts']",Invalid,300,3.7,35,4.2,316,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating']",,,,
Delhi Food And Chaat,Porur,"['North Indian', ' Chinese', ' Street Food', ' Beverages']",Invalid,300,3.6,38,3.4,134,"['Breakfast', 'Home Delivery', 'Indoor Seating']",,,,
Uppu Milagu Express,Taramani,['Chinese'],Invalid,400,3.2,37,3.5,179,"['Home Delivery', 'Free Parking', 'Indoor Seating']",,,,
Yem and Yemmis,Selaiyur,['Fast Food'],Invalid,250,3.3,22,3.9,533,"['Home Delivery', 'Outdoor Seating']",,,,
Shahid Hunger Hub,West Mambalam,"['Italian', ' Chinese', ' Healthy Food']",Invalid,300,3.2,41,3.9,485,"['Home Delivery', 'Indoor Seating']",,,,
Rayyan's Biryani,George Town,"['Biryani', ' Chinese']",Invalid,150,3.5,32,3.5,488,"['Home Delivery', 'Indoor Seating']",,,,
League of Breaks Cafe,Selaiyur,"['Cafe', ' Fast Food']",Invalid,550,3.9,34,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']",,,,
Maritime Tales - Radisson BLU Temple Bay,"Radisson Blu Temple Bay, Mamallapuram",['Finger Food'],Invalid,3000,3.6,28,None,Does not offer Delivery,"['Wheelchair Accessible', 'Full Bar Available', 'Indoor Seating', 'Luxury Dining', 'Wifi', 'Table booking recommended', 'Valet Parking Available', 'Nightlife', '4/5 Star']",,,,
Arches Juicy And Spicy,Selaiyur,"['Fast Food', ' Beverages']",Invalid,300,3.6,35,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating']",,,,
RSM Wimpy,Selaiyur,['Fast Food'],Invalid,550,3.4,46,4.1,220,"['Home Delivery', 'Indoor Seating']",,,,
Cake Delights,T. Nagar,"['Bakery', ' Desserts', ' Fast Food']",Invalid,350,None,Does not offer Dining,4.1,443,"['Home Delivery', 'Desserts and Bakes']",,,,
Dreamz,Padur,"['Chinese', ' Beverages', ' North Indian']",['Chicken Grill'],500,3.3,41,3.3,433,"['Home Delivery', 'Indoor Seating', 'Table reservation required']",,,,
Tamu Tamu,Gopalapuram,"['Middle Eastern', ' Mediterranean']",Invalid,600,3.9,38,None,Not enough Delivery Reviews,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Table booking recommended']",,,,
Muscat Bakery,Poonamalle,"['Bakery', ' South Indian']",Invalid,500,2.6,28,None,Does not offer Delivery,"['Indoor Seating', 'Desserts and Bakes']",,,,
Crazy Grill,Tiruvottiyur,"['North Indian', ' Chinese']",Invalid,500,3.7,52,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating']",,,,
Pattanathil Paati Kadai,Valasaravakkam,"['South Indian', ' Chettinad', ' Biryani']",Invalid,400,3.5,29,3.1,300,"['Home Delivery', 'Outdoor Seating', 'Indoor Seating']",,,,
Boozo The Kulfi Laboratory,Avadi,"['Desserts', ' Ice Cream']",Invalid,150,None,Does not offer Dining,4.3,74,"['Home Delivery', 'Vegetarian Only', 'Desserts and Bakes']",,,,
Shree Bhavan,Pallavaram,"['South Indian', ' Chinese']",Invalid,400,3.2,19,3.7,1142,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']",,,,
Asli Mumbai Chaat,Thuraipakkam,"['Street Food', ' Fast Food']",Invalid,200,3.7,44,3.7,633,"['Home Delivery', 'Outdoor Seating']",,,,
Al Rahim Takeway Restaurant,Pallavaram,"['Chinese', ' South Indian']",Invalid,350,3.3,41,3.5,422,"['Home Delivery', 'Indoor Seating', 'Free Parking']",,,,
Frost & Bite,Porur,"['Bakery', ' Fast Food', ' Chinese', ' Pizza']",Invalid,350,3.7,17,3.4,395,"['Breakfast', 'Home Delivery', 'Indoor Seating']",,,,
Mandeez The Arabian Restaurant,Karapakkam,['Arabian'],Invalid,650,3.3,39,None,Does not offer Delivery,['Indoor Seating'],,,,
Vivedha Chettinadu,Ambattur,"['Chettinad', ' Chinese', ' South Indian']",Invalid,300,3.8,57,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating', 'Free Parking']",,,,
LK Thattu Idly,Tambaram,['South Indian'],Invalid,300,None,Does not offer Dining,3.6,165,"['Breakfast', 'Home Delivery']",,,,
Madras Malabar Kitchen,Egmore,"['North Indian', ' Kerala', ' Biryani', ' Seafood']",Invalid,600,3.1,40,3.8,601,"['Home Delivery', 'Indoor Seating']",,,,
Mr. Burger,Ekkaduthangal,"['Burger', ' Fast Food']",Invalid,300,3.7,48,4,1715,"['Home Delivery', 'Indoor Seating']",,,,
Cane Blends,Ashok Nagar,"['Beverages', ' Fast Food']",Invalid,200,3.8,32,3.5,83,"['Home Delivery', 'Free Parking', 'Indoor Seating']",,,,
Pizza Toppers,Anna Nagar West,"['Pizza', ' Fast Food']",Invalid,300,3,35,3.9,845,"['Home Delivery', 'Outdoor Seating']",,,,
The Papad House,Madipakkam,['Fast Food'],Invalid,200,3.8,38,None,Does not offer Delivery,"['Vegetarian Only', 'Outdoor Seating', 'Indoor Seating', 'Self Service']",,,,
Lakshmi Amma's Kai Manam,Ambattur,"['Biryani', ' Seafood']",Invalid,500,None,Does not offer Dining,3.4,30,['Home Delivery'],,,,
Cake Nest,Pallikaranai,"['Bakery', ' Desserts']",Invalid,400,3.7,19,4,247,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']",,,,
Hotel Raja Bhavan,Ambattur,"['South Indian', ' North Indian', ' Chinese']",Invalid,250,3.3,37,None,Not enough Delivery Reviews,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']",,,,
Suswaad Sweets & Savouries,T. Nagar,"['Mithai', ' Desserts', ' Street Food']",Invalid,250,3.8,42,None,Does not offer Delivery,"['Breakfast', 'Takeaway Only', 'Vegetarian Only', 'Free Parking', 'Desserts and Bakes']",,,,
Kumars Hotel,Ambattur,"['South Indian', ' North Indian', ' Chinese']",Invalid,350,3.3,55,3.8,92,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Free Parking', 'Indoor Seating']",,,,
Hotel Aradhana,Egmore,"['North Indian', ' South Indian', ' Chinese']",Invalid,300,3,34,3.7,138,"['Breakfast', 'Home Delivery', 'Indoor Seating']",,,,
Shivalaya Virundhagam,Porur,"['North Indian', ' South Indian', ' Chinese']",Invalid,500,2.8,39,3.8,400,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Free Parking', 'Indoor Seating', 'Serves Jain Food', 'Live Music']",,,,
Madharaas Biryani,Kolathur,"['Chinese', ' Biryani']",Invalid,450,3.7,49,4.2,514,"['Home Delivery', 'Indoor Seating']",,,,
My Cafe,Anna Nagar West,"['Continental', ' Chinese', ' Beverages']",Invalid,300,3.7,33,3.7,151,"['Home Delivery', 'Indoor Seating']",,,,
Aki Bay @ TVR,RA Puram,"['Japanese', ' Asian']",Invalid,1200,3.7,25,3.9,64,"['Home Delivery', 'Free Parking', 'Wifi', 'Indoor Seating']",,,,
Eat Street,Potheri,['Fast Food'],Invalid,300,3.6,26,3.8,139,"['Breakfast', 'Home Delivery', 'Indoor Seating']",,,,
Greenerian Restaurant,Neelangarai,"['Chinese', ' Biryani']",Invalid,250,3.5,37,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating']",,,,
Gecko Restaurant,Mahabalipuram,"['North Indian', ' Seafood']",Invalid,700,3.4,32,None,Does not offer Delivery,"['Breakfast', 'Indoor Seating', 'Table reservation required']",,,,
Sree Ram Bhavan,Besant Nagar,"['South Indian', ' Beverages']",Invalid,200,3.2,36,None,Does not offer Delivery,"['Breakfast', 'Vegetarian Only', 'Indoor Seating', 'Catering Available']",,,,
Clown Kitchen,Kolathur,"['Pizza', ' Fast Food', ' Beverages']",Invalid,400,3.5,20,3.9,44,"['Home Delivery', 'Indoor Seating']",,,,
Chef Ka Rasoi,Karapakkam,"['North Indian', ' Mughlai', ' Chinese']",Invalid,350,None,Does not offer Dining,4.2,241,['Delivery Only'],,,,
Snack Art,Purasavakkam,"['Sandwich', ' Street Food', ' Beverages']",Invalid,300,None,Does not offer Dining,3.8,331,"['Home Delivery', 'Standing Tables']",,,,
Vimalam Mess,Anna Nagar East,"['South Indian', ' Chettinad']",Invalid,500,2.6,34,3.9,44,"['Home Delivery', 'Indoor Seating']",,,,
Eden Star Biriyani,Choolaimedu,"['Biryani', ' North Indian', ' Chinese']",Invalid,500,3.5,54,3.7,1518,"['Home Delivery', 'Indoor Seating']",,,,
Hotel Arafa,Arumbakkam,"['Chinese', ' Seafood', ' North Indian']",Invalid,450,3.4,42,3.9,676,"['Home Delivery', 'Indoor Seating']",,,,
Anutham Juice Box,Besant Nagar,"['Beverages', ' Fast Food', ' Desserts']",Invalid,300,3.7,28,3.9,187,"['Home Delivery', 'Indoor Seating']",,,,
Rahmath Biryani,Koyambedu,"['Biryani', ' North Indian', ' Fast Food']",Invalid,250,3.5,43,3.9,4078,"['Home Delivery', 'Indoor Seating']",,,,
Jeremiah Pizza,Chromepet,"['Pizza', ' Sandwich', ' Momos', ' Fast Food']",['Pizza'],400,None,Does not offer Dining,3,464,['Home Delivery'],,,,
Navarasa,"Ranga Residency, Chengalpattu","['South Indian', ' North Indian', ' Chinese']",Invalid,550,3.1,27,None,Not enough Delivery Reviews,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Catering Available']",,,,
Day2Day,Pallavaram,"['South Indian', ' Chinese']",Invalid,350,3.7,63,None,Not enough Delivery Reviews,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Free Parking', 'Indoor Seating']",,,,
TN 02 Cafe,Anna Nagar East,"['Fast Food', ' Chinese', ' Biryani']",Invalid,300,3.4,26,4,211,"['Home Delivery', 'Indoor Seating', 'Free Wifi']",,,,
Biriyani Virundhu,Karapakkam,"['Biryani', ' South Indian']",Invalid,500,None,Does not offer Dining,3.1,818,['Home Delivery'],,,,
HFC Kabab Stall,Kodambakkam,"['Kebab', ' Fast Food']",Invalid,250,None,Does not offer Dining,3.7,317,['Home Delivery'],,,,
Nawaz Durbar,Velachery,"['Chinese', ' South Indian', ' Biryani']","['Biryani', ' Chicken Grill']",400,2.2,45,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating', 'Catering Available']",,,,
Karam Biryani,Chromepet,"['Biryani', ' South Indian']",Invalid,250,3.8,38,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating', 'Free Parking']",,,,
Salt 'N' Pepper Café - Ambassador Pallava,"Ambassador Pallava, Egmore","['North Indian', ' Chinese', ' Continental']",Invalid,1000,3.2,41,None,Does not offer Delivery,"['Breakfast', 'Wheelchair Accessible', 'Full Bar Available', 'Free Parking', 'Indoor Seating', 'Table booking recommended', 'Buffet', 'Free Wifi']",,,,
Cold Mold,Mogappair,"['Juices', ' Ice Cream']",Invalid,200,3.7,49,3.9,74,"['Home Delivery', 'Standing Tables', 'Self Service', 'Desserts and Bakes', 'Outdoor Seating']",,,,
Rose Unavagam,Pallavaram,['South Indian'],Invalid,150,3.7,43,3.9,2019,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']",,,,
Anmol Mohit Patiala,Sowcarpet,['Beverages'],Invalid,100,3.3,30,None,Does not offer Delivery,"['Takeaway Only', 'Standing Tables', 'Self Service', 'Desserts and Bakes']",,,,
Aavin,Arumbakkam,"['Beverages', ' Desserts']",Invalid,150,3.1,11,None,Does not offer Delivery,"['Takeaway Only', 'Desserts and Bakes']",,,,
Hungry Mode,Kelambakkam,"['South Indian', ' Chinese', ' North Indian']",Invalid,400,3.6,43,3.7,2184,"['Home Delivery', 'Outdoor Seating']",,,,
Rose Milk Raja,Maduravoyal,['Beverages'],Invalid,100,3.9,46,4.4,150,"['Home Delivery', 'Indoor Seating']",,,,
NuTy,Kottivakkam,"['Seafood', ' Biryani', ' North Indian']",Invalid,400,None,Does not offer Dining,3.7,784,['Home Delivery'],,,,
Beem Food Joint,Tambaram,"['South Indian', ' Beverages']",Invalid,250,3.4,25,3.7,69,"['Breakfast', 'Home Delivery', 'Free Parking', 'Indoor Seating']",,,,
Devar Hotel,Tambaram,"['North Indian', ' Chinese']",Invalid,300,3.7,61,4.2,1015,"['Home Delivery', 'Indoor Seating']",,,,
Down Town - Deccan Plaza,"Deccan Plaza, Royapettah",['Finger Food'],Invalid,1400,3.4,49,None,Does not offer Delivery,"['Wheelchair Accessible', 'Vegetarian Only', 'Full Bar Available', 'Free Parking', 'Indoor Seating', 'Wifi', 'Live Music']",,,,
Spice Hub ,Purasavakkam,"['Sandwich', ' Fast Food', ' Street Food']",Invalid,200,3.5,20,None,Does not offer Delivery,"['Breakfast', 'Takeaway Only', 'Standing Tables']",,,,
Cakes N Strawberrys,Madipakkam,['Bakery'],Invalid,500,3.6,16,4.2,99,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']",,,,
Roti House,RA Puram,"['North Indian', ' Chinese']",Invalid,300,3.7,44,4.5,339,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating']",,,,
18+ Restaurant and Bar,Vadapalani,"['North Indian', ' Chinese', ' Andhra']",Invalid,700,2.7,39,None,Does not offer Delivery,"['Full Bar Available', 'Indoor Seating']",,,,
Ride Bar - Days Hotel,Padur,['Finger Food'],Invalid,1200,3.1,18,None,Does not offer Delivery,"['Full Bar Available', 'Live Music', 'Smoking Area', 'Indoor Seating']",,,,
Arun Ice Creams,K.K. Nagar,['Ice Cream'],Invalid,150,3.5,43,None,Does not offer Delivery,"['Vegetarian Only', 'Indoor Seating', 'Desserts and Bakes']",,,,
Burgers 9,Sholinganallur,"['Burger', ' Fast Food']",Invalid,400,3.3,38,3.5,2748,"['Home Delivery', 'Indoor Seating']",,,,
Sunny Days,Potheri,"['Fast Food', ' Desserts', ' Beverages']",Invalid,400,2.8,34,3.5,252,"['Breakfast', 'Home Delivery', 'Outdoor Seating']",,,,
Desert Dragon,Kanchipuram District,"['Chinese', ' Arabian']",Invalid,900,3.3,40,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating']",,,,
Hotel Atchaya Bhavan,T. Nagar,"['South Indian', ' Chinese', ' North Indian']",Invalid,300,3.5,38,3.8,153,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Catering Available']",,,,
"Oasis - Park Plaza, OMR","Park Plaza OMR, Thuraipakkam","['Continental', ' South Indian', ' North Indian', ' Chinese', ' Asian']",Invalid,1700,2.6,19,None,Does not offer Delivery,"['Breakfast', 'Wheelchair Accessible', 'Full Bar Available', 'Live Sports Screening', 'Indoor Seating', 'Table reservation required', 'Kid Friendly', 'Smoking Area', 'Wifi', 'Valet Parking Available', '4/5 Star', 'Serves Jain Food']",,,,
Bitez Cafe,Ramapuram,"['Sandwich', ' Pizza', ' Beverages']",Invalid,300,3.8,28,3.9,58,"['Home Delivery', 'Free Parking', 'Indoor Seating']",,,,
Sea Shore Restaurant,Mahabalipuram,"['Seafood', ' North Indian']",Invalid,600,2.3,24,None,Does not offer Delivery,"['Indoor Seating', 'Table Reservation Not Required']",,,,
Aswathy Bhavan,Madipakkam,['South Indian'],Invalid,200,3.1,48,4.1,940,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']",,,,
Chettinese,Kilpauk,['South Indian'],Invalid,300,3.3,37,3.8,281,"['Home Delivery', 'Free Parking', 'Indoor Seating']",,,,
Foody,Ramapuram,"['Chinese', ' Biryani', ' Fast Food']",Invalid,300,3.7,39,3.9,64,"['Home Delivery', 'Indoor Seating', 'Wifi']",,,,
Star Briyani,Medavakkam,"['South Indian', ' North Indian']",Invalid,400,3.2,45,3.5,443,"['Home Delivery', 'Indoor Seating']",,,,
Zawaj Biriyani,Sholinganallur,['Biryani'],Invalid,300,None,Does not offer Dining,3.5,431,['Delivery Only'],,,,
Biryani Stories,Thuraipakkam,"['Biryani', ' Chinese', ' North Indian']",Invalid,400,None,Does not offer Dining,3.9,604,['Home Delivery'],,,,
Grandpa's Kitchen,T. Nagar,"['Fast Food', ' South Indian']",Invalid,200,2.9,29,None,Not enough Delivery Reviews,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating']",,,,
Juice Spot,T. Nagar,['Beverages'],Invalid,100,None,Does not offer Dining,4.1,1347,['Home Delivery'],,,,
TN 03 CAFE,Tiruvottiyur,"['Sandwich', ' Fast Food', ' Ice Cream', ' Beverages']",Invalid,200,None,None,None,None,['Delivery Only'],,,,
Akshayam Veg Restaurant,Ambattur,"['North Indian', ' Chinese', ' South Indian']",Invalid,250,3,35,3.2,571,"['Home Delivery', 'Indoor Seating']",,,,
Koluthi Podu,Washermenpet,"['North Indian', ' Kebab', ' Rolls', ' Chinese']",Invalid,300,3.6,47,4,1282,"['Home Delivery', 'Indoor Seating']",,,,
Boganvila Patisserie & Cafe,Velachery,['Bakery'],Invalid,400,3.5,22,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']",,,,
Karaikudi Ganapathy Mess,Triplicane,['South Indian'],Invalid,150,3.6,46,None,Does not offer Delivery,"['Breakfast', 'Vegetarian Only', 'Indoor Seating']",,,,
Maggi Point,Tambaram,"['Fast Food', ' Street Food', ' Beverages']",['Masala Maggi'],500,None,None,None,None,"['Home Delivery', 'Indoor Seating']",,,,
Pattukottai Mess - Shri Kamatchi Thunai,Ashok Nagar,['Chettinad'],Invalid,500,3.9,49,4.1,101,"['Home Delivery', 'Table Reservation Not Required', 'Indoor Seating']",,,,
Chillies,"Saaral Residency, Mogappair","['North Indian', ' Mughlai', ' Chinese', ' South Indian']",Invalid,900,3.1,32,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating', 'Wifi', 'Table booking recommended']",,,,
Full Kattu,Kilpauk,"['South Indian', ' Biryani']",Invalid,500,None,Does not offer Dining,3.6,53,['Home Delivery'],,,,
Punnami Andhra Mess,Perungudi,"['Biryani', ' South Indian', ' Andhra']",Invalid,200,3.5,54,3.6,827,"['Breakfast', 'Home Delivery', 'Indoor Seating']",,,,
Buddy S Sandwich Shop,Ramapuram,"['Sandwich', ' Fast Food']",Invalid,300,None,Does not offer Dining,3.9,41,['Delivery Only'],,,,
Madrasi Lassi,Poonamalle,['Fast Food'],Invalid,300,3.5,36,4.1,490,"['Home Delivery', 'Sugar Free Options', 'Outdoor Seating']",,,,
Bismillah Restaurant,GST Road,"['North Indian', ' Chinese', ' South Indian']",Invalid,200,3.4,28,3.6,397,"['Home Delivery', 'Free Parking', 'Indoor Seating']",,,,
The Roll Factory,Chetpet,['Rolls'],Invalid,300,3.5,37,4,395,"['Home Delivery', 'Outdoor Seating']",,,,
The Society Bar - Ambassador Pallava,"Ambassador Pallava, Egmore","['Finger Food', ' North Indian']",Invalid,1500,3,30,None,Does not offer Delivery,"['Wheelchair Accessible', 'Full Bar Available', 'Free Parking', 'Valet Parking Available', 'Indoor Seating', 'Table reservation required', 'Nightlife', 'Free Wifi']",,,,
Aavin Parlour,Ambattur,['Ice Cream'],Invalid,200,2,4,None,Does not offer Delivery,"['Indoor Seating', 'Desserts and Bakes']",,,,
Naidu Andhra Mess,Thuraipakkam,"['Kebab', ' Biryani', ' Chinese', ' North Indian', ' South Indian']",Invalid,400,3.6,39,4,1290,"['Breakfast', 'Home Delivery', 'Indoor Seating']",,,,
Sree Mishti Bhog,Purasavakkam,"['Mithai', ' Street Food', ' Fast Food']",Invalid,400,3.6,32,3.9,295,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating']",,,,
Chennai Rawther Restaurant,Saidapet,"['Chinese', ' North Indian', ' Chettinad', ' Arabian']",Invalid,500,3.1,44,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating']",,,,
Andhi Rooftop Diner,Potheri,"['Chinese', ' Finger Food', ' South Indian', ' Kerala']",Invalid,700,3.3,41,3.6,552,"['Home Delivery', 'Free Parking', 'Rooftop']",,,,
Bobacha,Perungudi,"['Beverages', ' Desserts', ' Bubble Tea']",Invalid,300,3.7,27,3.7,151,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Desserts and Bakes']",,,,
Arcot Star Briyani,Mogappair,"['Biryani', ' Chinese']",Invalid,200,None,Does not offer Dining,4,139,['Home Delivery'],,,,
Hotspot Kitchen,Ambattur,"['Biryani', ' Chinese', ' Beverages']",Invalid,300,None,None,None,None,"['Home Delivery', 'Indoor Seating']",,,,
Barbeque Point,Alandur,"['BBQ', ' Lebanese']",Invalid,400,3.8,54,3.9,22,"['Home Delivery', 'Indoor Seating']",,,,
